Site,Date,Time,Parameter,Value
CUS,7/26/2020,16:00,SO2,-0.25
CUS,11/19/2020,4:00,SO2,-0.25
CUS,3/18/2020,1:00,SO2,-0.25
CUS,12/26/2020,2:00,SO2,-0.25
CUS,1/13/2020,4:00,SO2,-0.25
CUS,7/25/2020,1:00,SO2,-0.24
CUS,9/6/2020,19:00,SO2,-0.24
CUS,6/5/2020,4:00,SO2,-0.24
CUS,1/23/2020,4:00,SO2,-0.24
CUS,2/13/2020,20:00,SO2,-0.24
CUS,5/3/2020,2:00,NO,-0.24
CUS,12/18/2020,3:00,SO2,-0.24
CUS,2/15/2021,1:00,SO2,-0.24
CUS,4/26/2020,5:00,SO2,-0.24
CUS,5/3/2020,5:00,NO2,-0.24
CUS,1/7/2020,19:00,SO2,-0.24
CUS,3/19/2020,23:00,SO2,-0.24
CUS,3/1/2020,23:00,SO2,-0.24
CUS,2/18/2020,23:00,SO2,-0.24
CUS,5/4/2020,3:00,NO,-0.24
CUS,12/9/2020,1:00,SO2,-0.24
CUS,4/1/2020,5:00,SO2,-0.24
CUS,5/19/2020,1:00,SO2,-0.24
CUS,1/13/2020,23:00,SO2,-0.24
CUS,12/15/2020,4:00,SO2,-0.24
CUS,7/21/2020,22:00,SO2,-0.24
CUS,3/3/2020,12:00,SO2,-0.23
CUS,11/13/2020,1:00,SO2,-0.23
CUS,4/8/2020,1:00,NO,-0.23
CUS,1/5/2020,12:00,SO2,-0.23
CUS,4/14/2020,1:00,NO,-0.23
CUS,2/5/2021,4:00,SO2,-0.23
CUS,4/9/2020,10:00,SO2,-0.23
CUS,10/11/2020,16:00,SO2,-0.23
CUS,3/19/2020,1:00,SO2,-0.23
CUS,12/24/2020,4:00,SO2,-0.23
CUS,1/12/2021,0:00,SO2,-0.23
CUS,3/19/2020,3:00,SO2,-0.23
CUS,9/24/2020,5:00,SO2,-0.23
CUS,7/21/2020,5:00,SO2,-0.23
CUS,5/2/2020,14:00,SO2,-0.23
CUS,12/10/2020,1:00,SO2,-0.23
CUS,11/8/2020,22:00,SO2,-0.23
CUS,10/11/2020,14:00,SO2,-0.23
CUS,3/25/2020,23:00,SO2,-0.23
CUS,1/7/2020,4:00,SO2,-0.23
CUS,11/19/2020,19:00,SO2,-0.23
CUS,2/4/2020,3:00,SO2,-0.23
CUS,1/18/2020,1:00,SO2,-0.23
CUS,3/12/2020,1:00,SO2,-0.23
CUS,2/16/2020,11:00,SO2,-0.23
CUS,1/8/2020,19:00,SO2,-0.23
CUS,9/26/2020,0:00,SO2,-0.23
CUS,8/26/2020,1:00,NO,-0.23
CUS,1/21/2021,3:00,SO2,-0.22
CUS,5/31/2020,0:00,SO2,-0.22
CUS,1/22/2020,20:00,SO2,-0.22
CUS,2/2/2020,4:00,SO2,-0.22
CUS,8/22/2020,1:00,NO,-0.22
CUS,11/17/2020,4:00,SO2,-0.22
CUS,4/10/2020,12:00,SO2,-0.22
CUS,1/31/2020,20:00,SO2,-0.22
CUS,1/17/2020,23:00,SO2,-0.22
CUS,2/1/2021,4:00,SO2,-0.22
CUS,1/20/2020,13:00,SO2,-0.22
CUS,7/20/2020,2:00,SO2,-0.22
CUS,5/31/2020,5:00,SO2,-0.22
CUS,11/29/2020,18:00,SO2,-0.22
CUS,7/22/2020,2:00,SO2,-0.22
CUS,2/17/2020,19:00,SO2,-0.22
CUS,3/9/2020,4:00,SO2,-0.22
CUS,2/11/2020,0:00,SO2,-0.22
CUS,1/29/2020,20:00,SO2,-0.22
CUS,10/11/2020,19:00,SO2,-0.22
CUS,1/9/2021,2:00,SO2,-0.22
CUS,11/5/2020,4:00,SO2,-0.22
CUS,1/18/2021,4:00,SO2,-0.22
CUS,12/4/2020,4:00,SO2,-0.22
CUS,1/24/2021,2:00,SO2,-0.22
CUS,10/13/2020,2:00,NO,-0.22
CUS,11/4/2020,5:00,SO2,-0.22
CUS,3/3/2020,2:00,SO2,-0.22
CUS,11/12/2020,11:00,SO2,-0.22
CUS,2/7/2020,23:00,SO2,-0.22
CUS,1/30/2020,23:00,SO2,-0.22
CUS,4/24/2020,1:00,NO,-0.22
CUS,1/19/2021,2:00,SO2,-0.22
CUS,2/15/2020,2:00,SO2,-0.22
CUS,3/29/2020,1:00,NO,-0.22
CUS,4/4/2020,3:00,SO2,-0.21
CUS,2/12/2020,1:00,SO2,-0.21
CUS,2/2/2020,13:00,SO2,-0.21
CUS,2/19/2020,21:00,SO2,-0.21
CUS,11/8/2020,10:00,SO2,-0.21
CUS,8/30/2020,5:00,SO2,-0.21
CUS,10/29/2020,23:00,SO2,-0.21
CUS,3/20/2020,4:00,SO2,-0.21
CUS,6/10/2020,1:00,SO2,-0.21
CUS,1/8/2020,3:00,SO2,-0.21
CUS,8/13/2020,1:00,SO2,-0.21
CUS,11/25/2020,18:00,SO2,-0.21
CUS,5/5/2020,3:00,SO2,-0.21
CUS,9/18/2020,1:00,NO,-0.21
CUS,12/11/2020,4:00,SO2,-0.21
CUS,1/2/2020,17:00,SO2,-0.21
CUS,9/26/2020,5:00,SO2,-0.21
